SMILES,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
O=C1NC(=Nc2cccc3ccccc23)SC1=C1C(=O)Nc2ccc(Br)cc21,-8.650352176,-10.53287698,450.317,4.8162,2.946838314,0.522863644,70.56,4,2,1,TRUE,CHEMBL3901767,0.608549583,CHEMBL4551217,1,0.16091954,1
O=C(Nc1cc(-c2n[nH]c(=O)n2-c2ccc3ccccc3c2)ccn1)c1ccccc1,-10.31713118,-11.46671533,407.433,4.0281,2.264120779,0.470468329,92.67,5,2,4,TRUE,CHEMBL2048670,0.605090498,CHEMBL1644631,1,0.188888889,1
Cn1cnc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)c2)n1,-7.43805692,-7.427553842,436.863,3.5505,2.464422978,0.441731424,118.76,7,3,5,TRUE,CHEMBL4228654,0.596830171,CHEMBL3355173,1,0.163043478,1
Cc1n[nH]c(-c2c(C)csc2NC(=O)Cc2cccc3nccnc23)n1,-7.989917968,-7.6095316,364.434,3.27444,2.999620259,0.579202793,96.45,6,2,4,TRUE,CHEMBL2391121,0.611579333,CHEMBL1682009,1,0.10989011,1
Cc1nnc(-c2c(C)csc2NC(=O)Cc2cccc3nccnc23)[nH]1,-7.176525895,-7.914170802,364.434,3.27444,3.054220259,0.579202793,96.45,6,2,4,TRUE,CHEMBL3828150,0.534130982,50626377,1,0.149425287,1
Cc1ccc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4cccc(Cl)c4)cn3)c2)cn1,-7.655585345,-8.241052988,446.898,5.12542,2.241022612,0.395444635,100.94,5,3,5,TRUE,CHEMBL4458206,0.600134635,CHEMBL3355147,1,0.164835165,1
Cc1ccc(-c2ncn(-c3ccc(Nc4cc(-c5ccn(C)n5)c(Cl)cn4)cc3)n2)cn1,-8.992399738,-7.893663959,442.914,4.83022,2.749593008,0.419211943,86.34,8,1,5,TRUE,CHEMBL404242,0.565125112,CHEMBL1771665,1,0.179775281,1
Nc1cccc(C(=O)C=C2Nc3ccccc3NC2=O)c1,-8.569714228,-8.387782744,279.299,2.3996,2.373652851,0.447526655,84.22,4,3,2,TRUE,CHEMBL4077172,0.654504359,CHEMBL4800639,1,0.146666667,1
Cc1cc2nc3c(nc2cc1C)-c1ccccc1C3=NO,-8.434831264,-8.43361767,275.311,3.45364,2.445415159,0.394762201,58.37,4,1,0,TRUE,CHEMBL1938959,0.701136575,51238011,1,0.173076923,1
COC(=O)c1sccc1NC(=O)Cc1cccc2cnccc12,-7.523206289,-8.296887847,326.377,3.2641,2.173434179,0.747264066,68.29,5,1,4,TRUE,13899,0.512998713,CHEMBL1288215,1,0.113636364,1
