SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
CCOc1nn(CC(F)F)cc1S(=O)(=O)N1CC(CCC(=O)O)Oc2ccc(NC(=O)OC(C)(C)C(F)(F)F)cc21,680630,4.86,-6.794929244,-6.445970939,614.546,4.2574,3.833842894,0.354284604,149.29,9,2,11,TRUE,680630,1,1020509,0.450603902,1,0.185483871
COC(=O)CCNC(=O)C1CN(S(=O)(=O)c2ccc(F)c(Cl)c2)c2cc(NC(=O)OC(C)(C)C)ccc2O1,945699,4.87,-3.465518558,-9.084084842,572.011,3.4617,3.100895199,0.481487488,140.34,8,2,7,TRUE,945699,1,1098807,0.522106943,1,0.180327869
CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)c(F)c2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)cc(F)c2O1,645094,4.87,-7.606249299,-3.036160892,569.48,4.0857,3.485690675,0.507191157,114.04,6,2,6,TRUE,645094,1,1045600,0.349830562,1,0.141509434
CC(C)(C)OC(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)CC(CCNC(=O)C1COC1)O2,945765,4.88,-3.014958027,-9.462019024,585.601,4.1614,3.303101542,0.500329199,123.27,7,2,7,TRUE,945765,1,993120,0.519313305,1,0.161016949
CC1(NCC2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3cc(NC(=O)OC(C)(C)C)ccc3O2)COC1,945823,4.9,-4.914061022,-7.699147007,557.591,4.3872,3.417059351,0.542888763,106.2,7,2,6,TRUE,945823,1,993120,0.484015065,1,0.144067797
CC1(C)C2CCC1(c1cccc(-c3cnc(C(=O)O)nc3)n1)c1nnc(-c3c(F)cccc3F)cc12,1037064,4.9,-3.23699585,-7.650400114,485.494,5.1753,4.780558955,0.42519113,101.75,6,1,4,TRUE,1037064,1,1100172,0.606673307,1,0.212765957
Cc1ccc(C(=O)Nc2cnc3c(c(C4CCN(C(=O)C(C)C)CC4)cn3C)c2C(F)(F)F)cc1C#N,828436,4.9,-13.95461636,-7.749810112,511.548,5.3865,3.006821773,0.508805849,91.02,5,1,4,TRUE,828436,1,51338184,0.520495518,1,0.112244898
CC(CC(=O)Nc1ccc(C#N)c(Cl)c1)CC(=O)Nc1ccc2c(c1)c(=O)n(CC1CC1)c(=O)n2CC1CC1,51122275,4.9,-12.08658914,-12.26821198,548.043,4.50178,3.188061975,0.38624004,125.99,7,2,10,TRUE,51122275,1,51406350,0.552055286,1,0.18556701
CC(C)n1nc(NC=O)cc1-c1ccc(N(C)C(=O)c2c(F)cccc2Cl)c(N2CC3CC3C2)c1,50382194,4.9,-11.29945632,-5.812327367,495.986,5.2245,3.957203147,0.455849552,70.47,5,1,7,FALSE,50382194,1,50312490,0.439455782,1,0.118811881
CCC(=O)Nc1cc(-c2ccc(N(C)C(=O)c3c(F)cccc3Cl)c(N3CC4CC4C3)c2)n(C(C)C)n1,50382195,4.9,-10.96200085,-7.42305257,524.04,6.0047,3.807569914,0.41181357,70.47,5,1,7,TRUE,50382195,1,1020582,0.594255438,1,0.209090909
CC(NS(=O)(=O)c1ccc(-c2sc(-c3cccc(CC(C)(C)OC=O)n3)nc2CC2CCC2)c2ccncc12)C(F)(F)F,544294,4.9,-10.50011541,-7.183200746,632.73,6.4861,4.01293089,0.188366546,111.14,8,1,11,FALSE,544294,1,1020531,0.344877846,1,0.143939394
CCN(CC(F)(F)F)C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(C(O)(C(F)(F)F)C(F)(F)F)c(Cl)c1Cl,596090,4.9,-5.967520668,-4.755902436,664.374,5.9542,3.54271289,0.302965379,102.76,6,3,8,FALSE,596090,1,51370190,0.395640687,1,0.163043478
[H]C([H])([H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC=O)nn2C(C)C)cc1N1CC2CC2C1,CHEMBL3598055,4.9,-9.310025293,-6.86152994,495.986,5.2245,3.957203147,0.455849552,70.47,5,1,7,FALSE,CHEMBL3598055,1,297803,0.431362379,1,0.123809524
[H]C([H])([H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)CC)nn2C(C)C)cc1N1CC2CC2C1,CHEMBL3598056,4.9,-8.42963199,-10.54476693,524.04,6.0047,3.807569914,0.41181357,70.47,5,1,7,TRUE,CHEMBL3598056,1,1100171,0.51910828,1,0.180952381
CC(=O)NC(C)(C)CC1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1,945786,4.92,-6.549377157,-4.058119168,625.588,5.8559,3.614857158,0.373209694,114.04,6,2,7,TRUE,945786,1,1098825,0.492833775,1,0.203539823
CC(=O)NC(C)C1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1,644770,4.92,-7.77927473,-8.406639674,547.527,4.196,3.608318682,0.524525083,114.04,6,2,6,TRUE,644770,1,1020571,0.518127294,1,0.165217391
CC(C)(OC(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CC(CNC(=O)C1COC1)O2)C(F)(F)F,644916,4.92,-6.035079511,-9.419449703,575.537,3.434,3.375242043,0.485249473,123.27,7,2,7,TRUE,644916,1,1020571,0.5179604,1,0.15
CCn1cc(S(=O)(=O)N2CC(CNS(=O)(=O)C3CC3)Oc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)c(Cl)n1,645033,4.92,-6.650058454,-8.265923812,630.067,3.4839,3.826376865,0.428259359,148.93,9,2,9,FALSE,645033,1,1020506,0.53490221,1,0.176
COC(=O)CC1CN(S(=O)(=O)c2ccc(F)c(C(F)(F)F)c2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1,945634,4.94,-6.484356654,-5.793487439,602.481,5.2533,3.475444765,0.355174903,111.24,7,1,6,FALSE,945634,1,297796,0.360204995,1,0.134615385
CC(O)C(=O)NCCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)(C)C)ccc2O1,945771,4.97,-7.023709858,-9.768772374,523.583,3.0161,3.358673195,0.507878696,134.27,7,3,7,TRUE,945771,1,1098807,0.542282771,1,0.168067227
