SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
CC(Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1cccc(F)c1Cl)C1CCCCC1,1020565,200,-10.60978396,-13.57793717,531.003,5.9018,3.370078917,0.430084295,78.15,6,1,6,TRUE,651548,0.540053286,1020565,1,0.153153153,1
CC(Oc1cc(-n2nc3cnccn3c2=O)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F,1020652,200,-11.20345023,-11.63759161,497.355,3.8794,3.380966172,0.423040011,90.52,7,1,5,TRUE,667131,0.580841411,1020652,1,0.141509434,1
CC(Oc1cc(-n2nc3n(c2=O)CCCC3C(=O)O)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F,1020657,200,-9.852391415,-12.06781666,544.408,3.9952,3.846357331,0.453815068,115.45,7,2,6,TRUE,50916521,0.517457401,1020657,1,0.144144144,1
Cc1cnccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,1020471,200,-9.441953444,-11.61356541,479.434,3.79472,3.390570415,0.562607131,91.04,7,1,5,TRUE,667068,0.58031746,1020471,1,0.168316832,1
COc1ccccc1-c1ccc(NC(=O)C(C#N)=C(C)O)c(Cl)c1,CHEMBL483161,200,-9.901738524,-7.580863669,342.782,4.30968,2.2310363,0.492471948,82.35,4,2,4,FALSE,766156,0.534921369,CHEMBL483161,1,0.111111111,1
CC(O)=C(C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1,CHEMBL505315,200,-10.72920917,-12.98899268,347.201,4.95448,2.239181531,0.468457826,73.12,3,2,3,FALSE,50489171,0.543024619,CHEMBL505315,1,0.133333333,1
Cc1c(-c2ccc(-c3cccnc3Cl)cc2)nc2cnc(C(F)(F)F)cc2c1C(=O)O,51126205,201,-6.981645355,-5.334075545,443.812,6.03762,2.631249142,0.390668841,75.97,4,1,3,FALSE,51099337,0.515909826,51126205,1,0.161290323,1
COC(=O)c1ccccc1CCCCc1c(C(=O)O)[nH]c(=O)[nH]c1=O.NCCO,50555220,204,-8.167140896,-9.411017244,407.423,0.0508,2.565873206,0.301067426,175.57,7,5,8,TRUE,51245358,0.474194251,50555220,1,0.095744681,1
O=C(O)C1=C(C(=O)Nc2c(F)cc(-c3cccc(OC(F)(F)F)c3)cc2F)COC1,50319904,205,-8.790453494,-11.24936558,429.297,3.8803,2.790368404,0.705205712,84.86,4,2,5,TRUE,50387987,0.541270362,50319904,1,0.147727273,1
O=C(O)c1cccc2[nH]c(-c3c(F)c(F)c(-c4cccc(F)c4F)c(F)c3F)nc12,297830,209,-10.41345095,-10.35495109,422.284,5.4297,2.740827879,0.341901543,65.98,2,2,3,TRUE,795466,0.611734152,297830,1,0.24,1
Cc1cnoc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,1020422,210,-9.621621329,-12.66439516,469.395,3.38772,3.714164404,0.574863956,104.18,8,1,5,TRUE,50387841,0.568021465,1020422,1,0.172727273,1
CC(Oc1cc(-n2nc3n(c2=O)CCOC3)c(F)cc1C(=O)Nc1c(F)cc(F)cc1F)C(F)(F)F,1020589,210,-11.80293406,-12.71771653,520.361,3.7025,3.5855404,0.518949578,87.38,7,1,5,FALSE,667131,0.592421915,1020589,1,0.145631068,1
CC(=O)Nc1ccc(-c2ccc(-c3nc4c(C(=O)O)cc(C)cc4[nH]3)cc2)cc1,50358203,210,-3.763724875,-10.88057736,385.423,4.86192,2.147756854,0.467343574,95.08,3,3,4,TRUE,CHEMBL3924809,0.519305664,50358203,1,0.108433735,1
O=C(O)c1c(O)c(-c2ccc(Cl)cc2)nc2ccc(Br)cc12,50841882,211,-8.316179457,-7.400478544,378.609,4.7215,2.104057279,0.676625274,70.42,3,2,2,TRUE,558766,0.531219865,50841882,1,0.094117647,1
CCCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)NCC(C)(C)C,972481,213,-8.288910473,-11.30349577,420.529,3.6158,3.303885181,0.707589256,78.15,6,1,8,TRUE,51044689,0.522188755,972481,1,0.15,1
Cc1ccc2nc(-c3ccc(Cl)cc3)c(O)c(C(=O)O)c2c1,50841929,217,-7.606361546,-7.833961516,313.74,4.26742,2.033798263,0.740994047,70.42,3,2,2,TRUE,50529312,0.530312018,50841929,1,0.207792208,1
O=C(O)c1cccc2[nH]c(-c3c(F)c(F)c(-c4cccc(OC(F)(F)F)c4)c(F)c3F)nc12,297850,218,-9.66018841,-10.38509549,470.3,6.0501,2.788125661,0.28138527,75.21,3,2,4,FALSE,667118,0.566886191,297850,1,0.15625,1
